review_id,airline,text
1,AA,"My flight was delayed by 4 hours with no explanation. The staff was rude and unhelpful."
2,DL,"Excellent service! The crew was friendly and we arrived on time. Great experience overall."
3,UA,"Average flight. Nothing special but no major issues either."
4,WN,"Cheap tickets but the seats were uncomfortable. You get what you pay for."
5,AA,"Lost my luggage and customer service was unresponsive for days. Never flying with them again."
6,DL,"Smooth check-in, on-time departure, and friendly staff. Highly recommend."
7,UA,"Flight was cancelled last minute. Had to find another option on my own."
8,WN,"Good value for money. The flight attendants were helpful and polite."
9,AA,"Decent flight but the food was terrible. Could be better."
10,DL,"Best business class experience I've had in years. Worth every penny."
11,UA,"The plane was old and the seats were broken. Disappointing."
12,WN,"Quick boarding process and on-time arrival. No complaints."
13,AS,"Beautiful views from the window seat! Crew was attentive throughout the flight."
14,B6,"Long delays at the gate but the in-flight service was excellent."
15,AA,"Worst flight ever. Multiple delays, lost luggage, and rude staff. Avoid at all costs."
16,DL,"Reliable airline. They always deliver consistent quality service."
17,UA,"Mediocre experience. Nothing memorable, nothing terrible."
18,WN,"Fun and friendly crew made the flight enjoyable. Would fly again."
19,AS,"Smooth flight but boarding process was chaotic."
20,B6,"Great entertainment options on the in-flight system."
21,AA,"Two hour delay due to mechanical issues. Disappointing."
22,DL,"Cabin was spotlessly clean and the meal was actually good!"
23,UA,"Stuck on the tarmac for over an hour. Frustrating start to my trip."
24,WN,"Bags arrived damaged. Had to file a claim that's still being processed."
25,AS,"Flight from Anchorage was perfect. Beautiful views and smooth landing."
26,B6,"WiFi didn't work the entire flight. Otherwise OK."
27,AA,"Surprised by how good the experience was. Definitely flying with them again."
28,DL,"Lost my bag and they refused to compensate. Terrible customer service."
29,UA,"Crew was professional and the food was decent. Overall satisfactory."
30,WN,"They overbooked the flight and I was bumped. Compensation was fair though."
